transaction_id,item
1,eggs
1,milk
1,yogurt
1,cereal
1,lettuce
1,butter
2,eggs
2,onion
2,butter
2,rice
2,bread
2,milk
3,banana
4,lettuce
4,milk
5,banana
5,onion
5,rice
5,cereal
5,pasta
6,yogurt
6,milk
6,apple
6,rice
6,tea
7,cheese
7,banana
7,tea
8,butter
9,eggs
9,chicken
9,sugar
9,yogurt
10,pasta
11,eggs
11,beef
11,butter
11,coffee
11,chicken
12,banana
12,butter
12,bread
12,cereal
12,coffee
13,cereal
14,beef
15,pasta
15,chicken
15,apple
16,chicken
16,banana
16,yogurt
17,butter
17,apple
17,onion
17,cereal
17,sugar
17,lettuce
18,yogurt
18,onion
18,cereal
18,tea
19,cereal
20,tea
21,yogurt
21,butter
21,banana
21,tea
22,tomato
22,beef
23,pasta
23,cheese
23,yogurt
23,sugar
23,cereal
23,chicken
24,onion
24,yogurt
24,rice
24,beef
24,chicken
25,cheese
25,lettuce
26,butter
26,bread
26,eggs
26,cheese
27,apple
27,rice
27,butter
27,beef
27,lettuce
27,coffee
28,lettuce
28,yogurt
28,onion
28,milk
29,eggs
29,onion
29,yogurt
29,tea
29,salt
29,cheese
30,apple
30,pasta
30,milk
30,yogurt
31,apple
31,lettuce
31,eggs
31,coffee
31,banana
32,chicken
32,apple
33,lettuce
33,milk
33,tea
33,tomato
33,sugar
34,chicken
35,cereal
35,bread
35,salt
36,butter
36,salt
36,tomato
36,sugar
36,cheese
37,tomato
37,onion
38,yogurt
38,lettuce
39,rice
39,banana
39,onion
39,sugar
39,coffee
40,chicken
40,pasta
40,lettuce
40,sugar
41,cereal
42,butter
42,tea
43,sugar
44,cereal
44,sugar
44,salt
44,milk
44,butter
45,bread
45,cereal
45,butter
45,salt
45,tea
45,lettuce
46,cereal
46,yogurt
46,tomato
46,banana
46,cheese
47,sugar
47,salt
47,tomato
47,cereal
47,onion
47,beef
48,banana
48,eggs
48,sugar
48,rice
49,rice
49,salt
49,pasta
50,bread
50,eggs
50,salt
50,beef
50,tea
50,lettuce
51,cereal
52,banana
52,onion
53,cheese
53,rice
53,apple
53,yogurt
54,cereal
54,butter
54,pasta
54,eggs
55,onion
56,butter
57,apple
57,rice
58,tomato
58,banana
58,beef
58,bread
59,beef
59,milk
60,yogurt
60,pasta
60,coffee
60,rice
61,onion
61,tomato
61,cheese
61,banana
61,coffee
61,eggs
62,sugar
63,onion
63,bread
63,tea
63,sugar
63,lettuce
63,coffee
64,lettuce
64,salt
64,apple
64,bread
65,butter
65,apple
65,salt
65,onion
65,cereal
66,eggs
66,sugar
66,cereal
66,bread
67,butter
67,rice
67,lettuce
67,tea
67,yogurt
68,tea
68,cereal
69,beef
69,cheese
69,coffee
70,tea
70,butter
70,milk
70,pasta
71,sugar
71,eggs
71,butter
71,banana
71,yogurt
72,chicken
72,butter
73,chicken
73,coffee
74,pasta
74,onion
75,coffee
75,lettuce
75,milk
75,salt
75,eggs
75,pasta
76,yogurt
76,eggs
77,onion
78,yogurt
78,coffee
79,banana
79,tea
79,salt
79,yogurt
79,tomato
80,bread
80,butter
80,rice
81,bread
81,milk
81,tea
82,yogurt
82,apple
83,pasta
83,onion
83,rice
83,milk
83,eggs
83,bread
84,cheese
84,onion
84,bread
84,chicken
84,salt
84,banana
85,bread
85,coffee
86,bread
86,chicken
86,banana
87,cereal
87,eggs
87,chicken
87,rice
87,cheese
87,pasta
88,apple
88,salt
89,milk
89,apple
89,tea
89,rice
90,cereal
90,yogurt
90,apple
90,eggs
90,beef
90,rice
91,tomato
92,banana
92,pasta
93,coffee
93,cereal
93,sugar
94,banana
95,tea
95,yogurt
95,butter
95,sugar
96,lettuce
96,beef
96,onion
97,milk
97,eggs
97,yogurt
98,sugar
98,yogurt
99,eggs
100,rice
100,chicken
100,tea
100,salt
100,eggs
101,sugar
101,banana
101,yogurt
101,bread
